,ind_code,discription
52,SM.POP.TOTL.ZS,International migrant stock (% of population)
53,SM.POP.NETM,Net migration
54,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
55,SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)"
56,SH.STA.BASS.ZS,People using at least basic sanitation services (% of population)
57,SH.STA.ANVC.ZS,Pregnant women receiving prenatal care (%)
58,SH.SGR.PROC.P5,"Number of surgical procedures (per 100,000 population)"
59,SH.PRV.SMOK.FE,"Prevalence of current tobacco use, females (% of female adults)"
60,SH.MMR.RISK,Lifetime risk of maternal death (1 in: rate varies by country)
61,SH.MLR.INCD.P3,"Incidence of malaria (per 1,000 population at risk)"
62,SH.MED.CMHW.P3,"Community health workers (per 1,000 people)"
63,SH.IMM.HEPB,"Immunization, HepB3 (% of one-year-old children)"
64,SH.HIV.INCD.YG,Young people (ages 15-24) newly infected with HIV
65,SH.HIV.INCD,Adults (ages 15-49) newly infected with HIV
66,SH.HIV.0014,Children (0-14) living with HIV
67,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population)
68,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)"
69,SH.DYN.MORT.MA,"Mortality rate, under-5, male (per 1,000 live births)"
70,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%)
71,SH.DYN.0509,"Probability of dying among children ages 5-9 years (per 1,000)"
72,SH.DTH.INJR.ZS,"Cause of death, by injury (% of total)"
73,SH.DTH.1519,Number of deaths ages 15-19 years
74,SH.CON.1524.FE.ZS,"Condom use, population ages 15-24, female (% of females ages 15-24)"
75,SH.ALC.PCAP.MA.LI,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"
76,SG.VAW.REAS.ZS,Women who believe a husband is justified in beating his wife (any of five reasons) (%)
77,SG.VAW.ARGU.ZS,Women who believe a husband is justified in beating his wife when she argues with him (%)
78,SG.LAW.INDX,Women Business and the Law Index Score (scale 1-100)
79,SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)"
80,SE.XPD.SECO.ZS,Expenditure on secondary education (% of government expenditure on education)
81,SE.XPD.CTOT.ZS,"Current education expenditure, total (% of total expenditure in public institutions)"
82,SE.TER.TCHR.FE.ZS,"Tertiary education, academic staff (% female)"
83,SE.TER.ENRL.TC.ZS,"Pupil-teacher ratio, tertiary"
84,SE.TER.CUAT.MS.ZS,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)"
85,SE.TER.CUAT.DO.MA.ZS,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)"
86,SE.TER.CUAT.BA.FE.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
87,SE.SEC.TCHR.FE.ZS,"Secondary education, teachers (% female)"
88,SE.SEC.TCAQ.UP.ZS,Trained teachers in upper secondary education (% of total teachers)
89,SE.SEC.TCAQ.LO.ZS,Trained teachers in lower secondary education (% of total teachers)
90,SE.SEC.PROG.ZS,Progression to secondary school (%)
91,SE.SEC.NENR.MA,"School enrollment, secondary, male (% net)"
92,SE.SEC.ENRR.FE,"School enrollment, secondary, female (% gross)"
93,SE.SEC.ENRL.UP.TC.ZS,"Pupil-teacher ratio, upper secondary"
94,SE.SEC.ENRL.GC,"Secondary education, general pupils"
95,SE.SEC.CUAT.UP.ZS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
96,SE.SEC.CUAT.PO.MA.ZS,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
97,SE.SEC.CUAT.LO.FE.ZS,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
98,SE.SEC.AGES,Lower secondary school starting age (years)
99,SE.PRM.UNER.FE.ZS,"Children out of school, female (% of female primary school age)"
100,SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)"
101,SE.PRM.TCAQ.ZS,Trained teachers in primary education (% of total teachers)
102,SE.PRM.REPT.MA.ZS,"Repeaters, primary, male (% of male enrollment)"
103,SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)"
104,SE.PRM.PRIV.ZS,"School enrollment, primary, private (% of total primary)"
105,SE.PRM.NINT.ZS,Net intake rate in grade 1 (% of official school-age population)
106,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)"
107,SE.PRM.GINT.FE.ZS,"Gross intake ratio in first grade of primary education, female (% of relevant age group)"
108,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary"
109,SE.PRM.CUAT.ZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
110,SE.PRM.CMPT.MA.ZS,"Primary completion rate, male (% of relevant age group)"
111,SE.PRE.TCAQ.MA.ZS,"Trained teachers in preprimary education, male (% of male teachers)"
112,SE.PRE.ENRR,"School enrollment, preprimary (% gross)"
113,SE.LPV.PRIM.SD.FE,Female primary school age children out-of-school (%)
114,SE.LPV.PRIM.LD.FE,Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
115,SE.ENR.TERT.FM.ZS,"School enrollment, tertiary (gross), gender parity index (GPI)"
116,SE.COM.DURS,"Compulsory education, duration (years)"
117,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)"
118,RQ.STD.ERR,Regulatory Quality: Standard Error
119,RQ.NO.SRC,Regulatory Quality: Number of Sources
120,RL.PER.RNK.LOWER,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval"
121,NV.FSM.TOTL.KN,Financial intermediary services indirectly Measured (FISIM) (constant LCU)
122,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)"
123,NV.AGR.EMPL.KD,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
124,NE.RSB.GNFS.CN,External balance on goods and services (current LCU)
125,NE.IMP.GNFS.KD.ZG,Imports of goods and services (annual % growth)
126,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP)
127,NE.GDI.TOTL.CN,Gross capital formation (current LCU)
128,NE.GDI.STKB.CD,Changes in inventories (current US$)
129,NE.GDI.FTOT.KD,Gross fixed capital formation (constant 2015 US$)
130,NE.GDI.FPRV.CN,"Gross fixed capital formation, private sector (current LCU)"
131,NE.EXP.GNFS.KD,Exports of goods and services (constant 2015 US$)
132,NE.DAB.TOTL.KN,Gross national expenditure (constant LCU)
133,NE.DAB.DEFL.ZS,Gross national expenditure deflator (base year varies by country)
134,NE.CON.TOTL.KD,Final consumption expenditure (constant 2015 US$)
135,NE.CON.PRVT.PP.KD,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
136,NE.CON.PRVT.KN,Households and NPISHs Final consumption expenditure (constant LCU)
137,NE.CON.PRVT.CN,Households and NPISHs Final consumption expenditure (current LCU)
138,NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth)
139,MS.MIL.XPRT.KD,Arms exports (SIPRI trend indicator values)
140,MS.MIL.XPND.CD,Military expenditure (current USD)
141,LP.LPI.TRAC.XQ,Logistics performance index: Ability to track and trace consignments (1=low to 5=high)
142,LP.LPI.ITRN.XQ,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)
143,LP.EXP.DURS.MD,"Lead time to export, median case (days)"
144,IT.NET.SECR.P6,Secure Internet servers (per 1 million people)
145,IT.MLT.MAIN.P2,Fixed telephone subscriptions (per 100 people)
146,IS.SHP.GOOD.TU,Container port traffic (TEU: 20 foot equivalent units)
147,IS.RRS.GOOD.MT.K6,"Railways, goods transported (million ton-km)"
148,IQ.SPI.PIL5,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100)
149,IQ.SPI.PIL1,Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100)
150,IQ.CPA.STRC.XQ,CPIA structural policies cluster average (1=low to 6=high)
151,IQ.CPA.PROT.XQ,CPIA social protection rating (1=low to 6=high)
152,IQ.CPA.MACR.XQ,CPIA macroeconomic management rating (1=low to 6=high)
153,IQ.CPA.FISP.XQ,CPIA fiscal policy rating (1=low to 6=high)
154,IQ.CPA.ECON.XQ,CPIA economic management cluster average (1=low to 6=high)
155,IP.TMK.NRCT,"Trademark applications, nonresident, by count"
156,IP.IDS.RSCT,"Industrial design applications, resident, by count"
157,IE.PPN.ICTI.CD,Public private partnerships investment in ICT (current US$)
158,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)"
159,EN.ATM.PM25.MC.T3.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)"
160,EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita)
161,EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total)
162,EG.GDP.PUSE.KO.PP,GDP per unit of energy use (PPP $ per kg of oil equivalent)
163,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output)
164,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses (% of output)
165,EG.ELC.ACCS.ZS,Access to electricity (% of population)
166,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population)
167,DT.TDS.MLAT.CD,"Multilateral debt service (TDS, current US$)"
168,DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)"
169,DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)"
170,DT.ODA.ODAT.KD,Net official development assistance received (constant 2021 US$)
171,DT.ODA.OATL.KD,Net official aid received (constant 2021 US$)
172,DT.NFL.WITC.CD,"Net official flows from UN agencies, WTO-ITC (current US$)"
173,DT.NFL.UNWN.CD,"Net official flows from UN agencies, UNWOMEN (current US$)"
174,DT.NFL.UNIDO.CD,"Net official flows from UN agencies, UNIDO (current US$)"
175,DT.NFL.UNEC.CD,"Net official flows from UN agencies, UNECE (current US$)"
176,DT.NFL.UNCR.CD,"Net official flows from UN agencies, UNHCR (current US$)"
177,DC.DAC.DNKL.CD,"Net bilateral aid flows from DAC donors, Denmark (current US$)"
178,DC.DAC.CECL.CD,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)"
179,DC.DAC.AUSL.CD,"Net bilateral aid flows from DAC donors, Australia (current US$)"
180,CM.MKT.LDOM.NO,"Listed domestic companies, total"
181,CC.STD.ERR,Control of Corruption: Standard Error
182,CC.NO.SRC,Control of Corruption: Number of Sources
183,BX.TRF.PWKR.CD,"Personal transfers, receipts (BoP, current US$)"
184,BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)"
185,BX.GSR.ROYL.CD,"Charges for the use of intellectual property, receipts (BoP, current US$)"
186,BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)"
187,BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)"
188,BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)"
189,BN.KAC.EOMS.CD,"Net errors and omissions (BoP, current US$)"
190,BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)"
191,BM.TRF.PRVT.CD,"Secondary income, other sectors, payments (BoP, current US$)"
192,BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)"
193,BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)"
194,BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)"
195,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100)
196,AG.LND.TOTL.UR.K2,Urban land area (sq. km)
197,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land)
198,AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area)
199,AG.LND.CROP.ZS,Permanent cropland (% of land area)
200,AG.LND.ARBL.HA,Arable land (hectares)
201,AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production)
202,VC.IHR.PSRC.FE.P5,"Intentional homicides, female (per 100,000 female)"
203,VC.BTL.DETH,Battle-related deaths (number of people)
204,VA.PER.RNK,Voice and Accountability: Percentile Rank
205,TX.VAL.TRAN.ZS.WT,Transport services (% of commercial service exports)
206,TX.VAL.OTHR.ZS.WT,"Computer, communications and other services (% of commercial service exports)"
207,TX.VAL.MRCH.RS.ZS,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"
208,TX.VAL.MRCH.R3.ZS,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)
209,TX.VAL.MRCH.HI.ZS,Merchandise exports to high-income economies (% of total merchandise exports)
210,TX.VAL.MANF.ZS.UN,Manufactures exports (% of merchandise exports)
211,TX.VAL.FOOD.ZS.UN,Food exports (% of merchandise exports)
212,TX.MNF.TECH.ZS.UN,Medium and high-tech exports (% manufactured exports)
213,TM.VAL.SERV.CD.WT,Commercial service imports (current US$)
214,TM.VAL.MRCH.WL.CD,Merchandise imports by the reporting economy (current US$)
215,TM.VAL.MRCH.R4.ZS,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)
216,TM.VAL.MRCH.OR.ZS,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)
217,TM.VAL.MMTL.ZS.UN,Ores and metals imports (% of merchandise imports)
218,TM.VAL.FUEL.ZS.UN,Fuel imports (% of merchandise imports)
219,TM.TAX.TCOM.WM.FN.ZS,"Tariff rate, most favored nation, weighted mean, primary products (%)"
220,TM.TAX.TCOM.SM.AR.ZS,"Tariff rate, applied, simple mean, primary products (%)"
221,TM.TAX.MRCH.WM.FN.ZS,"Tariff rate, most favored nation, weighted mean, all products (%)"
222,TM.TAX.MRCH.SM.AR.ZS,"Tariff rate, applied, simple mean, all products (%)"
223,TM.TAX.MANF.WM.FN.ZS,"Tariff rate, most favored nation, weighted mean, manufactured products (%)"
224,TM.TAX.MANF.SM.AR.ZS,"Tariff rate, applied, simple mean, manufactured products (%)"
225,TM.QTY.MRCH.XD.WD,Import volume index (2015 = 100)
226,ST.INT.TVLX.CD,"International tourism, expenditures for travel items (current US$)"
227,ST.INT.RCPT.XP.ZS,"International tourism, receipts (% of total exports)"
228,SP.UWT.TFRT,Unmet need for contraception (% of married women ages 15-49)
229,SP.RUR.TOTL.ZS,Rural population (% of total population)
230,SP.REG.BRTH.ZS,Completeness of birth registration (%)
231,SP.REG.BRTH.FE.ZS,"Completeness of birth registration, female (%)"
232,SP.POP.TOTL.FE.IN,"Population, female"
233,SP.POP.GROW,Population growth (annual %)
234,SP.POP.BRTH.MF,Sex ratio at birth (male births per female births)
235,SP.POP.7579.FE.5Y,"Population ages 75-79, female (% of female population)"
236,SP.POP.65UP.TO,"Population ages 65 and above, total"
237,SP.POP.65UP.FE.IN,"Population ages 65 and above, female"
238,SP.POP.6064.FE.5Y,"Population ages 60-64, female (% of female population)"
239,SP.POP.5054.FE.5Y,"Population ages 50-54, female (% of female population)"
240,SP.POP.4044.FE.5Y,"Population ages 40-44, female (% of female population)"
241,SP.POP.3034.FE.5Y,"Population ages 30-34, female (% of female population)"
242,SP.POP.2024.FE.5Y,"Population ages 20-24, female (% of female population)"
243,SP.POP.1564.MA.IN,"Population ages 15-64, male"
244,SP.POP.1519.FE.5Y,"Population ages 15-19, female (% of female population)"
245,SP.POP.0509.FE.5Y,"Population ages 05-09, female (% of female population)"
246,SP.POP.0014.MA.IN,"Population ages 0-14, male"
247,SP.POP.0004.FE.5Y,"Population ages 00-04, female (% of female population)"
248,SP.HOU.FEMA.ZS,Female headed households (% of households with a female head)
249,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
250,SP.DYN.IMRT.MA.IN,"Mortality rate, infant, male (per 1,000 live births)"
251,SP.DYN.CONM.ZS,"Contraceptive prevalence, any modern method (% of married women ages 15-49)"
252,SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)"
253,SN.ITK.SALT.ZS,Consumption of iodized salt (% of households)
254,SH.STA.HYGN.RU.ZS,"People with basic handwashing facilities including soap and water, rural (% of rural population)"
255,SH.STA.BRTC.ZS,Births attended by skilled health staff (% of total)
256,SH.STA.BASS.RU.ZS,"People using at least basic sanitation services, rural (% of rural population)"
257,SH.STA.AIRP.MA.P5,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)"
258,SH.SGR.CRSK.ZS,Risk of catastrophic expenditure for surgical care (% of people at risk)
259,SH.PRG.ANEM,Prevalence of anemia among pregnant women (%)
260,SH.MLR.TRET.ZS,Children with fever receiving antimalarial drugs (% of children under age 5 with fever)
261,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)"
262,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)"
263,SH.HIV.INCD.ZS,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)"
264,SH.HIV.INCD.TL,Adults (ages 15+) and children (ages 0-14) newly infected with HIV
265,SH.HIV.1524.MA.ZS,"Prevalence of HIV, male (% ages 15-24)"
266,SH.H2O.SMDW.UR.ZS,"People using safely managed drinking water services, urban (% of urban population)"
267,SH.H2O.BASW.RU.ZS,"People using at least basic drinking water services, rural (% of rural population)"
268,SH.DYN.NCOM.MA.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)"
269,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)"
270,SH.DYN.1519,"Probability of dying among adolescents ages 15-19 years (per 1,000)"
271,SH.DTH.NCOM.ZS,"Cause of death, by non-communicable diseases (% of total)"
272,SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
273,SH.DTH.0509,Number of deaths ages 5-9 years
274,SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months)
275,SH.ALC.PCAP.FE.LI,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"
276,SG.VAW.GOES.ZS,Women who believe a husband is justified in beating his wife when she goes out without telling him (%)
277,SG.TIM.UWRK.MA,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)"
278,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)"
279,SE.XPD.TERT.ZS,Expenditure on tertiary education (% of government expenditure on education)
280,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education)
281,SE.XPD.CSEC.ZS,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)"
282,SE.TER.ENRR.FE,"School enrollment, tertiary, female (% gross)"
283,SE.TER.CUAT.ST.MA.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
284,SE.TER.CUAT.MS.FE.ZS,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
285,SE.TER.CUAT.BA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
286,SE.SEC.UNER.LO.MA.ZS,"Adolescents out of school, male (% of male lower secondary school age)"
287,SE.SEC.TCHR,"Secondary education, teachers"
288,SE.SEC.TCAQ.UP.FE.ZS,"Trained teachers in upper secondary education, female (% of female teachers)"
289,SE.SEC.TCAQ.LO.FE.ZS,"Trained teachers in lower secondary education, female (% of female teachers)"
290,SE.SEC.PROG.FE.ZS,"Progression to secondary school, female (%)"
291,SE.SEC.NENR,"School enrollment, secondary (% net)"
292,SE.SEC.ENRL.VO.FE.ZS,"Secondary education, vocational pupils (% female)"
293,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary"
294,SE.SEC.ENRL,"Secondary education, pupils"
295,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
296,SE.SEC.CUAT.LO.ZS,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"
297,SE.SEC.CMPT.LO.MA.ZS,"Lower secondary completion rate, male (% of relevant age group)"
298,SE.PRM.UNER.MA.ZS,"Children out of school, male (% of male primary school age)"
299,SE.PRM.UNER,"Children out of school, primary"
300,SE.PRM.TCHR.FE.ZS,"Primary education, teachers (% female)"
301,SE.PRM.TCAQ.FE.ZS,"Trained teachers in primary education, female (% of female teachers)"
302,SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)"
303,SE.PRM.PRS5.MA.ZS,"Persistence to grade 5, male (% of cohort)"
304,SE.PRM.OENR.MA.ZS,"Over-age students, primary, male (% of male enrollment)"
305,SE.PRM.NINT.FE.ZS,"Net intake rate in grade 1, female (% of official school-age population)"
306,SE.PRM.GINT.ZS,"Gross intake ratio in first grade of primary education, total (% of relevant age group)"
307,SE.PRM.ENRR.FE,"School enrollment, primary, female (% gross)"
308,SE.PRM.ENRL,"Primary education, pupils"
309,SE.PRM.CUAT.FE.ZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
310,SE.PRM.AGES,Primary school starting age (years)
311,SE.PRE.ENRR.MA,"School enrollment, preprimary, male (% gross)"
312,SE.PRE.DURS,"Preprimary education, duration (years)"
313,SE.LPV.PRIM.MA,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
314,SE.LPV.PRIM.FE,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
315,SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)"
316,SE.ADT.LITR.MA.ZS,"Literacy rate, adult male (% of males ages 15 and above)"
317,SE.ADT.1524.LT.FM.ZS,"Literacy rate, youth (ages 15-24), gender parity index (GPI)"
318,SE.ENR.SECO.FM.ZS,"School enrollment, secondary (gross), gender parity index (GPI)"
319,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)"
320,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)"
321,RQ.PER.RNK.UPPER,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval"
322,RQ.EST,Regulatory Quality: Estimate
323,RL.PER.RNK,Rule of Law: Percentile Rank
324,PV.STD.ERR,Political Stability and Absence of Violence/Terrorism: Standard Error
325,PV.NO.SRC,Political Stability and Absence of Violence/Terrorism: Number of Sources
326,per_si_allsi.cov_q3_tot,Coverage of social insurance programs in 3rd quintile (% of population)
327,per_si_allsi.ben_q1_tot,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)
328,per_sa_allsa.cov_q3_tot,Coverage of social safety net programs in 3rd quintile (% of population)
329,per_sa_allsa.ben_q1_tot,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)
330,per_lm_alllm.cov_q3_tot,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population)
331,per_lm_alllm.ben_q1_tot,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits)
332,per_allsp.adq_pop_tot,Adequacy of social protection and labor programs (% of total welfare of beneficiary households)
333,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)"
334,NY.TRF.NCTR.CN,Net secondary income (Net current transfers from abroad) (current LCU)
335,NY.TAX.NIND.CD,Taxes less subsidies on products (current US$)
336,NY.GNS.ICTR.ZS,Gross savings (% of GDP)
337,NY.GNP.PCAP.PP.KD,"GNI per capita, PPP (constant 2021 international $)"
338,NY.GNP.PCAP.KD,GNI per capita (constant 2015 US$)
339,NY.GNP.MKTP.PP.CD,"GNI, PPP (current international $)"
340,NY.GNP.MKTP.CN.AD,GNI: linked series (current LCU)
341,NY.GDY.TOTL.KN,Gross domestic income (constant LCU)
342,NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP)
343,NY.GDP.PCAP.KN,GDP per capita (constant LCU)
344,NY.GDP.PCAP.CD,GDP per capita (current US$)
